20
12 |14 |14 |3 |8 |10 |4 |8 |10 |8 |10 |4 |12 |11 |12 |14 |11 |4 |13 |14 
13 |14 |14 |11 |5 |6 |4 |8 |10 |5 |6 |4 |4 |4 |4 |12 |3 |13 |14 |14 
12 |14 |11 |13 |14 |11 |4 |5 |6 |1 |7 |4 |4 |13 |3 |4 |1 |2 |2 |7 
4 |12 |3 |12 |14 |3 |4 |12 |11 |8 |10 |4 |13 |11 |12 |3 |5 |9 |9 |6 
3 |13 |14 |3 |1 |7 |13 |3 |4 |5 |6 |13 |11 |4 |13 |14 |14 |11 |1 |2 
2 |7 |1 |7 |8 |10 |12 |11 |4 |12 |14 |11 |4 |13 |11 |12 |14 |3 |5 |9 
9 |6 |8 |10 |5 |6 |4 |13 |3 |13 |14 |3 |13 |11 |4 |13 |14 |11 |12 |14 
2 |7 |5 |6 |12 |11 |4 |12 |11 |12 |11 |12 |11 |13 |3 |12 |11 |4 |13 |14 
9 |6 |12 |11 |13 |3 |13 |3 |13 |3 |13 |3 |13 |14 |14 |3 |4 |4 |1 |2 
14 |14 |3 |13 |11 |1 |2 |7 |1 |2 |7 |1 |2 |2 |2 |7 |4 |4 |5 |9 
14 |11 |12 |11 |4 |5 |9 |6 |5 |9 |6 |5 |9 |9 |9 |6 |13 |3 |1 |7 
7 |4 |13 |3 |13 |11 |1 |2 |7 |12 |14 |11 |1 |7 |1 |7 |1 |7 |8 |10 
10 |13 |11 |12 |14 |3 |5 |9 |6 |13 |11 |4 |5 |6 |5 |6 |5 |6 |5 |6 
10 |12 |3 |13 |14 |14 |11 |1 |7 |12 |3 |13 |11 |1 |2 |2 |2 |7 |1 |7 
6 |4 |1 |7 |12 |11 |4 |8 |10 |13 |14 |11 |4 |5 |9 |9 |9 |6 |5 |6 
14 |3 |5 |6 |4 |13 |3 |8 |10 |1 |7 |4 |13 |11 |1 |2 |2 |2 |2 |2 
11 |12 |14 |11 |4 |1 |7 |8 |10 |8 |10 |13 |14 |3 |5 |9 |9 |9 |9 |9 
3 |4 |12 |3 |4 |8 |10 |8 |10 |8 |10 |1 |2 |7 |12 |11 |12 |14 |14 |14 
14 |3 |13 |11 |4 |8 |10 |8 |10 |5 |6 |5 |9 |6 |13 |3 |4 |12 |14 |11 
11 |1 |7 |4 |4 |5 |6 |8 |10 |12 |11 |12 |14 |11 |1 |7 |13 |3 |12 |3 

attempts: 1
0.019
